Name,x,y,normal,undiff,well_diff,Class
Tile 9187,44526.0,94736.0,1.1443200831351419E-9,1.2147441941223747E-9,1.0,well_diff
Tile 9188,44526.0,95248.0,3.914514654264345E-14,4.1998292322174835E-14,1.0,well_diff
Tile 9189,44526.0,95760.0,1.3086886241353568E-8,1.3727421865894485E-8,1.0,well_diff
Tile 9190,44526.0,96272.0,2.7138447739050164E-13,2.9788251401131893E-13,1.0,well_diff
Tile 9191,44526.0,96784.0,1.5610341463911936E-8,1.655284265211776E-8,1.0,well_diff
Tile 9192,44526.0,97296.0,0.04329642653465271,0.04315269738435745,0.9135509133338928,well_diff
Tile 9198,45039.0,4624.0,1.1494465752548422E-6,1.1834247288788902E-6,0.999997615814209,well_diff
Tile 9199,45039.0,5136.0,1.0492425419488083E-16,1.177276535009971E-16,1.0,well_diff
Tile 9200,45039.0,5648.0,2.160343979444937E-15,2.3795260365247223E-15,1.0,well_diff
Tile 9201,45039.0,6160.0,1.2507291394289143E-18,1.4137789492698809E-18,1.0,well_diff
Tile 9204,45039.0,7696.0,6.183002548810438E-15,6.785055356510429E-15,1.0,well_diff
Tile 9211,45039.0,14352.0,0.014274138025939465,0.020503880456089973,0.9652219414710999,well_diff
Tile 9220,45039.0,18960.0,5.856111595647917E-9,6.236819061200549E-9,1.0,well_diff
Tile 9221,45039.0,19472.0,1.3097685436225248E-10,1.4136523895924569E-10,1.0,well_diff
Tile 9222,45039.0,19984.0,1.8445373700659573E-11,2.0057467839396104E-11,1.0,well_diff
Tile 9223,45039.0,20496.0,1.9529522887751227E-8,0.03772004321217537,0.9622799158096313,well_diff
Tile 9224,45039.0,21008.0,1.2625699097323917E-10,1.3538888066211285E-10,1.0,well_diff
Tile 9226,45039.0,22032.0,7.823483902029693E-4,7.840729667805135E-4,0.998433530330658,well_diff
Tile 9228,45039.0,23056.0,0.005557685159146786,0.003973978105932474,0.9904683232307434,well_diff
Tile 9229,45039.0,23568.0,2.4908331961673996E-14,2.729375122992924E-14,1.0,well_diff
Tile 9230,45039.0,24080.0,1.3898922290866977E-10,1.482620137771562E-10,1.0,well_diff
Tile 9232,45039.0,25104.0,1.197215851789224E-6,1.2459098570616334E-6,0.999997615814209,well_diff
Tile 9236,45039.0,27152.0,5.765963748127767E-11,6.234005672789422E-11,1.0,well_diff
Tile 9238,45039.0,28176.0,1.7573685909155756E-5,1.8462242223904468E-5,0.9999639987945557,well_diff
Tile 9242,45039.0,30224.0,2.8155625400594353E-11,3.122475888961418E-11,1.0,well_diff
