Name,x,y,normal,undiff,well_diff,Class
Tile 11443,51195.0,61456.0,8.618705927979434E-14,1.0,3.3695973528785617E-13,undiff
Tile 11450,51195.0,65040.0,3.50985354061889E-13,1.0,3.5177955925828897E-13,undiff
Tile 11452,51195.0,66064.0,6.183441430991124E-18,1.0,7.181185858671973E-18,undiff
Tile 11453,51195.0,66576.0,2.2483291827338426E-17,1.0,3.569512713836806E-14,undiff
Tile 11454,51195.0,67088.0,1.2580542261275696E-6,0.9999817609786987,1.7001040760078467E-5,undiff
Tile 11455,51195.0,67600.0,2.1927916080133336E-11,1.0,2.426379756836905E-11,undiff
Tile 11457,51195.0,68624.0,1.1433833151386352E-6,0.9999977350234985,1.1522596423674258E-6,undiff
Tile 11458,51195.0,69136.0,7.812897820258513E-6,0.9999842643737793,7.869378350733314E-6,undiff
Tile 11466,51195.0,73232.0,3.0336218515003566E-7,0.9999958276748657,3.8909242903173435E-6,undiff
Tile 11467,51195.0,73744.0,0.002339988714084029,0.9944772124290466,0.003182824468240142,undiff
Tile 11468,51195.0,74256.0,7.735914686612944E-11,1.0,8.521136574124455E-11,undiff
Tile 11474,51195.0,77328.0,0.007505267392843962,0.9914855360984802,0.0010091536678373814,undiff
Tile 11482,51195.0,81424.0,7.86507040051454E-11,1.0,6.293124243939019E-9,undiff
Tile 11483,51195.0,81936.0,3.026857712029596E-6,0.9995846152305603,4.123396356590092E-4,undiff
Tile 11484,51195.0,82448.0,4.722496672144791E-15,1.0,5.895613587169474E-14,undiff
Tile 11489,51195.0,85008.0,2.0921196312990005E-16,1.0,8.3651359214279E-16,undiff
Tile 11495,51195.0,88080.0,1.399013854097575E-6,0.9999971389770508,1.4329077657748712E-6,undiff
Tile 11496,51195.0,88592.0,6.516881083168044E-14,1.0,7.222368048672573E-14,undiff
Tile 11497,51195.0,89104.0,3.7782118064580775E-14,1.0,7.04276047203134E-14,undiff
Tile 11498,51195.0,89616.0,1.0842074240897774E-14,1.0,1.2652142144565798E-14,undiff
Tile 11499,51195.0,90128.0,2.8103515608418617E-12,1.0,1.807033342404729E-11,undiff
Tile 11508,51195.0,94736.0,0.005399886053055525,0.939556360244751,0.055043745785951614,undiff
Tile 11514,51708.0,1552.0,2.2053493810313997E-15,1.0,2.38796481401998E-15,undiff
Tile 11515,51708.0,2064.0,5.091349705114295E-14,1.0,5.646487983668007E-14,undiff
Tile 11516,51708.0,2576.0,6.034822641609594E-11,1.0,6.303389754602762E-11,undiff
Tile 11517,51708.0,5648.0,7.90647996834655E-14,1.0,8.586103968652795E-14,undiff
Tile 11526,51708.0,10256.0,1.0936327271338087E-5,0.9998573064804077,1.3178733934182674E-4,undiff
Tile 11528,51708.0,11280.0,2.330575155469949E-15,1.0,4.090911213705832E-15,undiff
Tile 11530,51708.0,12304.0,3.906034160396435E-14,1.0,6.60727440641995E-13,undiff
Tile 11533,51708.0,13840.0,2.7772875994742884E-19,1.0,3.2781539906752136E-19,undiff
Tile 11534,51708.0,14352.0,3.867641110924801E-17,1.0,4.295992289796201E-17,undiff
Tile 11539,51708.0,16912.0,1.0526713710239631E-14,1.0,1.1861807888734806E-14,undiff
Tile 11540,51708.0,17424.0,2.2200014791451395E-4,0.9995515942573547,2.2641605755779892E-4,undiff
Tile 11545,51708.0,19984.0,2.9683819014999016E-14,1.0,3.052467200987015E-14,undiff
Tile 11546,51708.0,20496.0,1.942767994478345E-5,0.999961256980896,1.9277833416708745E-5,undiff
Tile 11547,51708.0,23056.0,5.256530144492899E-8,0.9999998807907104,5.3364477281547806E-8,undiff
Tile 11548,51708.0,23568.0,2.2982094378676265E-5,0.9999547004699707,2.2326881662593223E-5,undiff
Tile 11549,51708.0,24080.0,1.7454602538579658E-15,1.0,1.827824467099553E-15,undiff
Tile 11551,51708.0,25104.0,1.462674703578415E-10,0.9999998807907104,8.884622815230614E-8,undiff
Tile 11562,51708.0,30736.0,6.13310764953595E-15,1.0,1.2829453211599118E-12,undiff
Tile 11563,51708.0,31248.0,5.84348677677141E-22,1.0,7.026845282443181E-22,undiff
Tile 11567,51708.0,33296.0,1.8293766288479674E-6,0.9999963045120239,1.875135922091431E-6,undiff
Tile 11568,51708.0,33808.0,3.102100674130245E-16,1.0,6.741990507406126E-16,undiff
Tile 11569,51708.0,34320.0,1.8442071450408548E-4,0.990492045879364,0.00932351779192686,undiff
Tile 11571,51708.0,35344.0,1.4416023062790995E-11,1.0,1.015820649818977E-9,undiff
Tile 11573,51708.0,36368.0,3.604129256325195E-14,1.0,1.3357453164386524E-12,undiff
Tile 11579,51708.0,39440.0,1.3320674756647517E-14,1.0,3.851701740214576E-14,undiff
Tile 11585,51708.0,42512.0,1.1286104495411564E-7,0.9999990463256836,8.118876735352387E-7,undiff
Tile 11586,51708.0,43024.0,5.515134751713196E-16,1.0,6.314311925634405E-16,undiff
Tile 11597,51708.0,48656.0,1.5207503496501157E-13,1.0,7.184081346305049E-13,undiff
Tile 11598,51708.0,49168.0,0.01872076652944088,0.9799208045005798,0.0013584510888904333,undiff
Tile 11599,51708.0,49680.0,0.002451550681143999,0.9971916079521179,3.5684500471688807E-4,undiff
Tile 11607,51708.0,53776.0,3.365261899441335E-13,1.0,3.1071954037509286E-11,undiff
Tile 11609,51708.0,54800.0,3.6140548331786704E-9,0.9999934434890747,6.511770152428653E-6,undiff
Tile 11616,51708.0,58384.0,2.592614833929474E-8,1.0,2.7113941314382828E-8,undiff
Tile 11617,51708.0,58896.0,0.0225530993193388,0.9766663908958435,7.805026252754033E-4,undiff
Tile 11618,51708.0,59408.0,0.004508146550506353,0.9598952531814575,0.035596661269664764,undiff
Tile 11622,51708.0,61456.0,8.585472367575531E-20,1.0,1.0594163516652065E-19,undiff
Tile 11627,51708.0,64016.0,1.8916690436299177E-10,1.0,2.0391727195701037E-10,undiff
Tile 11632,51708.0,66576.0,5.416981975856506E-19,1.0,6.584345268212912E-19,undiff
Tile 11633,51708.0,67088.0,2.390150077857811E-9,1.0,2.5886359722449015E-9,undiff
Tile 11634,51708.0,67600.0,2.577084379229433E-12,1.0,2.8425081299160437E-12,undiff
Tile 11635,51708.0,68112.0,3.834156547810608E-9,1.0,4.154949717616319E-9,undiff
Tile 11636,51708.0,68624.0,2.5523349177092314E-4,0.9994877576828003,2.570016076788306E-4,undiff
Tile 11638,51708.0,69648.0,1.288670173380524E-4,0.9973393082618713,0.0025317748077213764,undiff
Tile 11647,51708.0,74256.0,9.658180505356384E-11,1.0,2.3129220760864655E-9,undiff
Tile 11650,51708.0,75792.0,3.4544533900060514E-11,1.0,6.559193743704839E-10,undiff
Tile 11653,51708.0,77328.0,0.0011484106071293354,0.9987422823905945,1.0936029866570607E-4,undiff
Tile 11657,51708.0,79376.0,1.3651120234214886E-9,0.9999998807907104,1.511080256477726E-7,undiff
Tile 11659,51708.0,80400.0,2.218351891070114E-11,1.0,1.3277535737543644E-9,undiff
Tile 11660,51708.0,80912.0,1.7652288593524024E-13,1.0,5.785478975235681E-13,undiff
Tile 11669,51708.0,85520.0,6.127943634055555E-4,0.998784601688385,6.02633401285857E-4,undiff
Tile 11675,51708.0,88592.0,5.03217013095084E-17,1.0,5.777053220871987E-17,undiff
Tile 11676,51708.0,89104.0,3.357910712250352E-15,1.0,3.5242859825412257E-15,undiff
Tile 11677,51708.0,89616.0,6.641717688318977E-17,1.0,7.736982905189011E-17,undiff
Tile 11678,51708.0,90128.0,3.949621463217312E-10,1.0,7.748204855495544E-10,undiff
Tile 11681,51708.0,91664.0,0.0392516627907753,0.9520663619041443,0.008681961335241795,undiff
Tile 11693,52221.0,1552.0,2.3594846779509404E-13,1.0,2.534754090649516E-13,undiff
Tile 11694,52221.0,2064.0,7.392552044962423E-15,1.0,8.247553878184492E-15,undiff
Tile 11695,52221.0,2576.0,1.1635619598631807E-14,1.0,1.2840823815764377E-14,undiff
Tile 11696,52221.0,3088.0,5.752866932828837E-12,1.0,6.116003536948966E-12,undiff
Tile 11697,52221.0,5648.0,6.464477337431163E-5,0.9998314380645752,1.0388285591034219E-4,undiff
